,restaurant,type,price,review,url
84,Pearl Dive Oyster Palace,"American, Seafood, Southern",$$,"With its chipped-paint walls, this weathered dining room looks as if it’s been here for decades. In fact, it’s only five years old, but when it comes to the rapidly changing scene along the 14th Street corridor, that practically makes it a granddaddy. The menu hasn’t changed much along the way—the barbecue shrimp are as buttery as ever, the frying for po’ boy fillings is expert, and the boozy pecan pie remains the best around. True to the place’s name, oyster fans will find much to like. The list culls the best varieties from both coasts (including sweet Kusshis from British Columbia and bracing Beavertails from Rhode Island) and serves them on ice and in decadent preparations such as the Tchoupitoulas, with tasso ham, corn, and crab.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-pearl-dive-oyster-palace
85,PassionFish,Seafood,$$$,"Jeff Tunks’s Reston seafood palace has a shimmering new sibling inside a downtown Bethesda condo building. Few other restaurants in the area serve pescatarians so well, and the kitchens at both locations—overseen by longtime chef de cuisine Chris Clime—excel with a wide range of styles, including New England-inspired fry-ups, ceviche, and sushi. (In Bethesda, a dedicated sushi chef turns out terrific rolls.) The raw bar is a particular strength. The Big Daddy—a three-tiered tower overflowing with Wellfleet clams, oysters, jumbo-lump crab cocktail, and a whole lobster—is one of the best excuses there is to celebrate.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-passionfish
86,La Limeña,"Peruvian, Seafood",$,"Sure, you can find a very good lomo saltado, that happy pileup of marinated tri-tip, onions, and tomatoes over a mound of French fries, and the pollo a la brasa is good, too, but do yourself a favor and suspend your meat-centered menu-gazing when you drop by Emma Perez’s strip-mall storefront. The measure of any good Peruvian restaurant—and this is one—is not in the meats; it’s in its preparations of seafood and potatoes. The best reason to come here is to sup on ceviches and tiraditos—bright, clean treatments of fish and shellfish cooked only with lime juice so as to emphasize the freshness and texture of the product. As befits a culinary culture with more than 700 kinds of potato, the humble spud is well represented, from causa, a kind of potato napoleon, to the papa rellena, an oblong ball of mashed potatoes encasing an empanada-like filling.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-la-limena
87,Doi Moi,"Thai, Vietnamese",$$,"Thip Khao’s green-papaya salad and Little Serow’s fried tofu are well-known bucket-list items for capsaicin addicts, but the tear-inducing mushroom-and-herb salad at this bright-white Thai/Vietnamese small-plates hangout deserves a spot right alongside them. Much of the menu is singeing, and the trick is finding a good balance—knowing that fluffy mounds of crab fried rice and giant pork buns are your friends next to the curries and chili-laced larb salad. So, too, the wine list, which is packed with tongue-soothing values from Germany and Austria. We just wish we could say the same about the servers, who during multiple visits ranged from unhelpful to absentee.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-doi-moi
88,Ripple,American,$$$,"Chef Marjorie Meek-Bradley has expanded her presence well beyond Cleveland Park in the past year, competing on Top Chef and preparing for an upcoming sandwich joint at DC’s convention center. Thankfully, her home-base kitchen doesn’t feel forsaken and is producing a lively lineup of dishes suited for a range of dining experiences. Settle into the bar/lounge for a smoky mezcal cocktail and the extensive variety of cheeses and charcuterie (try the house-made rabbit rillettes) or take a table in the red-hued, pleasantly hushed dining room. Oft-changing plates run eclectic—we fell hard for the excellent Indian-spiced carrot soup, roasted bone marrow with chimichurri, and best-of-both-worlds chicken (it’s roasted and fried). Still, it was tough not to fill up on the complimentary milk bread dusted with everything-bagel seasoning.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-ripple
89,Taqueria el Mexicano,Mexican,$,"Okay, so the dining room looks about as inviting as a 7-Eleven. But so what when the mole tastes this rich with nuts, chilies, and dark chocolate? The rojo for the adobo pork is nearly as good—slice off a hunk of the tender rib meat, tuck it into a nubbly, from-scratch corn tortilla, and drizzle on some of the hot sauce. The sopes, too, are made in-house—order one with braised tongue and savor the way the texture of the thick tortilla and the soft meat nearly approximate each other. Don’t be tempted by the typical Tex-Mex fare, such as tacos and enchiladas, which tend to evince less conviction than the authentically Mexican stuff that owners (and proud Puebla natives) Bernardo and Clara Vargas opened the place to showcase. If there’s a cream pastry in the case up front, grab it when you place your order—the Vargases own the bakery a couple of doors down, and the sweet might not be there when you’re ready for dessert.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-taqueria-el-mexicano
90,BlackSalt ,"American, Seafood",$$$,"Long before market/restaurant hybrids became trendy, chef Jeff Black’s seafood shop and dining room was a destination in the Palisades. Eleven years in, the crowds haven’t waned, though the space has been refreshed with bar-area banquettes and a brighter palette. Seafood—including specialties you can select from ice-laden cases for chefs to prepare—remains the main draw. Chef Mike Huff, who has spent time cooking in Italy’s Campania region, has added a few daily-special fresh pastas to the menu; they join a global lineup that’s strong when touching down in Europe (wood-grilled sardines with garlic-parsley sauce) and Asia (Skuna Bay salmon atop a rice tower). Portions run large and flavors tend to be rich, so it’s worth skipping a small plate and saving room for longtime pastry chef Susan Wallace’s retro sweets.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-blacksalt
91,Lyon Hall,"French, German",$$,"This jammed Clarendon brasserie gracefully straddles the territory between bar and restaurant. There are plenty of twentysomethings here to sip from the groaning roster of boutique wines, Belgian and German beers, ciders, and cocktails. But it’s also a family destination, with swing-set-friendly fare—giant pretzels, terrific house-made hot dogs in poppy-seed buns—that tends to show up on a lot of grownups’ plates, too. House-made charcuterie and mussel pots are ideal for communal eating, as are platters of sausages and pork belly piled on top of kraut and spaetzle and garnished with tart lingonberries. In the mood for something lighter? Go for the grilled sea bass, boosted by zippy green-olive vinaigrette.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-lyon-hall
92,Compass Rose,International,$$,"Rose Previte’s cozy joint is just half a block off 14th Street, but it feels like a respite. She and her waitstaff—who look imported from the set of Girls—create a friendly, cozy vibe in the elbow-to-elbow rowhouse dining room. (Recently, the back area has been tricked out with a sunset-hued Bedouin tent, where a separate Moroccan menu is served.) In the kitchen, chef Sam Molavi has tightened up a once-scatterbrained small-plates menu devoted to street snacks from around the world. He’s as deft with turning out creamy Japanese octopus fritters as he is with Colombian lamb-neck arepas. To drink, there are bracing cocktails made with obscurities like génépy, an Alpine apéritif.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-compass-rose
93,Nostos,Greek,$$,"Tucked away in a Tysons office park, this white-on-white Greek restaurant runs traditional, which is in many ways an asset—wine-braised lamb shanks are meltingly tender, spreads including smoky eggplant feel light, and fresh catches such as branzino arrive moist and simply dressed with fruity Greek olive oil. The kitchen’s particular strengths come forth in seafood small plates such as sweet shrimp stewed in tomatoes and feta. Don’t be shy about asking for guidance when it comes to the extensive list of Greek wines, yielding a lush Peloponnesian rosé, among other delicious finds.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-nostos
94,Republic,American,$$,"Takoma Park has long been known for loud and lively debate, but until Jeff Black’s Republic arrived two years ago, it had never been known for loud and lively restaurants—the kind where people crowd the bar and the din approximates that of a party at full volume. Few restaurants, including the other five places in Black’s portfolio, have even half as much character as this one, with its boudoir-like red booths, antique brass lamps, and a box radio by the host stand. The greatest rewards are the simplest—a tray of perfectly shucked Skookum oysters from Washington state, a bowl of mussels (its divine tomato broth could stand alone as its own dish, to be soaked up with crusty bread), a shrimp po’ boy to make a New Orleanian forget home. With bigger plates, the cooking tends to lose its clarity. As at all of Black’s restaurants, desserts are a highlight, delivering homey satisfaction.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-republic
95,Ser,Spanish,$$,"The crisp-skinned suckling pig at this Modern Spanish spot is one of the most compelling dishes around. Not just because it’s tasty but because it’s “carved” with the edge of a plate instead of a knife. Co-owner Javier Candon (his partner is Josu Zubikarai, formerly of Taberna del Alabardero) does the deed with both nonchalance and flair. Other offerings—charcuterie and cheese, tapas, and larger plates—don’t have the pomp of the pig, but there are pleasures to be found. Classic small plates such as shrimp with a hit of garlic and cayenne or fried baby eels evoke tapas crawls in Madrid. So, too, the list of wines and sherries and a dining room splashed in Mediterranean oranges and yellows.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-ser
96,Black Market Bistro,American,$$,"Jeff and Barbara Black’s bistro isn’t far from Bethesda, but it has an out-in-the-country vibe. And though it’s a neighborhood gathering spot, it’s also a destination for those seeking a tête-à-tête rather than a scene, along with easy-to-like food. Crackly-crust pizzas (the mushroom-pecorino is terrific) share space with Modern American plates such as a chewy-in-a-good-way hanger steak with chimichurri. Cake lovers will find their happy place—especially if the blackout cake is on the menu. Even though it’s mated with Chantilly cream and chocolate sauce, we amp it up with ice cream.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-black-market-bistro
97,Rus Uz,"Russian, Uzbek",$$,"It’s hard to resist the Vodka Roulette at this Russian-Uzbeki restaurant: ten blind shots, randomly culled from house-infused vodkas. (We’re hooked on the horseradish variety.) But share with friends—otherwise you might have to bail on chef/owner Bakhitiyor Rakhmatulleav’s robustly satisfying cooking. Among the many savory meat-in-dough starters—including good versions of bun-like pirozhki and fried half-moon chebureki—the flaky samsa with spiced lamb is the clear favorite (the restaurant has been known to run out). Uzbeki dishes tend to outshine the Russian offerings, which means that among the bigger plates, you’ll want to focus on manti, pillows of thin dough filled with minced lamb and drizzled with yogurt, or plov,a long-cooked rice dish studded with tender lamb, raisins, and carrots. For those inspired to DIY, the market next door carries many of the fixings for the food—and for infusing vodka.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-rus-uz
98,Passage to India,Indian,$$,"Allow us a moment, please, to praise the thoughtful civility of this dining room: the soft ragas on the sound system, the tables laid with crisp cloth, the sense that you’ve gotten away from it all. None of this would mean very much if it weren’t for the quality of the food, which, when the kitchen is on, has a subtlety and nuance missing in the competition. A curry here isn’t merely an excuse to bring the heat but to treat you to the full range of effects that come from proper, layered spicing. And there are flavors and combinations you simply won’t find anywhere else in the area, with dishes drawn from all across the subcontinent.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-passage-to-india
99,Lupo Verde,Italian,$$$,"With its tucked-away alcoves and ruddy brick walls, this rowhouse is one of the more romantic addresses in the 14th Street corridor. But it’s not just about atmosphere. There are excellent cocktails, especially if you’re a fan of herbal flavors and amari; a prodigious roster of Italian meats and cheeses, including obscurities such as salty Moliterno cheese from Basilicata; and a wealth of fresh pastas. We like to kick things off with cipolla, a grilled onion stuffed with a gooey “fondue” of cheeses studded with olives. Bread comes with it, but it’s the sort of thing that begs for a spoon.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-lupo-verde
